1635351188.000000, 1635351188.000000, 1635351188.000000
32.000000, 32.000000, 32.000000
2,2,56
1,2,57
0,3,61
1,2,64
2,2,60
3,2,62
4,2,63
3,2,64
3,2,64
3,3,63
3,3,62
3,4,62
2,4,61
4,4,63
3,4,64
2,4,63
3,4,63
1,4,66
0,3,71
0,2,71
-3,1,71
-4,1,73
-3,3,72
-3,2,63
-4,1,62
-5,-3,63
-5,-3,62
-6,-2,59
-7,-2,58
-4,-3,57
-3,-4,55
-2,-5,54
1,-7,54
1,-8,55
-1,-9,56
-2,-9,56
0,-8,59
1,-7,62
1,-6,62
1,-2,68
1,-1,69
2,0,68
2,-1,67
1,-1,69
-4,3,71
-5,6,73
0,10,65
0,11,64
0,13,69
3,15,71
6,12,65
4,9,54
4,8,53
3,7,53
1,5,52
8,2,51
7,1,53
9,2,58
13,2,58
12,3,59
12,5,64
10,7,65
8,4,65
6,2,66
7,-3,70
4,-5,72
3,-6,73
-1,-3,73
-1,-4,71
2,-6,66
1,-5,63
0,-2,58
-2,-1,51
0,-2,49
3,-3,47
0,-4,46
0,-8,46
-1,-9,48
-3,-8,57
-1,-8,60
1,-7,61
2,-5,64
-1,-1,67
-1,6,71
0,8,70
-2,13,68
-11,19,74
-13,18,75
-13,12,73
-12,9,70
-14,5,66
-15,5,65
-14,1,58
-13,-2,54
-12,-3,53
-13,-3,51
-13,-3,51
-9,-2,53
-9,-1,55
-10,2,59
-12,4,62
-12,5,64
-12,7,70
-12,8,71
-8,10,67
-6,8,66
-9,0,69
-20,-2,74
-23,0,74
-28,0,64
-26,-3,62
-23,-4,63
-24,-3,60
-26,0,55
-22,4,54
-19,5,51
-14,3,44
-15,2,43
-14,-2,46
-14,-3,49
-14,-2,55
-16,-4,61
-18,-4,66
-29,4,76
-28,6,76
-19,10,76
-18,11,76
-18,14,70
-13,12,59
-14,12,56
-15,10,57
-13,7,57
-21,6,59
-20,4,60
-16,2,57
-14,-1,55
-13,-2,53
-10,-2,51
-7,-4,51
-8,-6,57
-7,-6,58
-9,-6,60
-10,-6,62
-12,-4,63
-13,1,68
-14,-1,68
-18,-3,75
-26,3,83
-28,6,80
-23,2,67
-22,-1,64
-19,-2,62
-19,-2,56
-12,2,49
-9,3,49
-9,2,46
-9,1,46
-8,-1,47
-10,-4,51
-13,-4,55
-12,-1,62
-13,-2,64
-12,0,69
-13,4,72
-12,4,74
-10,6,77
-11,6,78
-13,14,75
-10,12,61
-10,10,59
-11,8,60
-11,9,59
-8,8,52
-7,6,50
-8,2,51
-7,-1,49
-6,-3,49
-6,-5,53
-5,-7,55
-7,-6,60
-9,-4,61
-7,-1,65
-7,2,70
-6,3,71
-2,2,68
-4,0,71
-11,1,81
-14,6,81
-16,7,71
-13,3,68
-13,4,67
-13,5,59
-10,5,56
-7,6,51
-8,6,49
-7,5,47
-4,3,47
-5,2,49
-5,-1,54
-6,-2,56
-9,-3,60
-10,-4,63
-12,2,73
-13,6,75
-13,4,75
-14,7,82
-18,10,82
-13,16,73
-10,14,64
-10,8,57
-10,10,60
-8,11,57
-7,8,50
-7,6,51
-6,3,52
-6,1,50
-5,-2,50
-5,-4,54
-5,-4,56
-6,-5,59
-5,-5,60
-6,-6,64
-7,-4,67
-7,-1,69
-9,-6,68
-13,-8,71
-21,-9,78
-25,-4,82
-27,1,73
-25,-1,67
-21,-3,62
-18,-2,55
-15,-1,53
-12,0,51
-10,0,49
-12,-1,46
-11,-2,47
-10,-5,49
-10,-5,56
-9,-4,59
-11,-4,60
-13,-4,63
-12,-1,70
-12,1,70
-14,2,72
-16,5,80
-20,10,82
-11,14,71
-9,12,61
-13,8,59
-13,8,62
-10,8,54
-8,4,47
-9,2,47
-10,-1,49
-10,-2,49
-9,-2,50
-7,-3,52
-8,-3,58
-10,-6,60
-9,-7,62
-12,-5,67
-13,-3,67
-12,-1,68
-13,-4,69
-23,-7,74
-32,-1,73
-31,2,69
-27,-1,63
-27,-2,62
-25,0,63
-22,1,60
-14,4,53
-12,3,48
-14,2,48
-13,-1,46
-14,-3,47
-15,-4,52
-18,-2,56
-16,0,61
-16,1,65
-18,4,67
-20,6,73
-19,7,75
-25,10,83
-25,17,81
-20,16,71
-16,11,59
-16,9,58
-15,8,54
-12,6,48
-12,1,40
-13,-1,41
-13,-4,43
-13,-6,44
-13,-7,48
-11,-9,55
-13,-9,58
-16,-8,62
-19,-7,65
-22,-4,71
-22,-3,72
