1636420037.000000, 1636420037.000000, 1636420037.000000
32.000000, 32.000000, 32.000000
12,-60,12
13,-61,12
13,-60,13
13,-60,12
12,-60,12
13,-61,12
13,-61,12
13,-61,11
13,-61,12
13,-61,12
12,-61,11
12,-61,12
12,-60,11
12,-60,11
12,-60,11
13,-60,11
13,-60,11
13,-61,12
13,-61,12
13,-61,12
12,-61,12
13,-61,13
13,-61,12
13,-60,12
13,-60,13
13,-61,12
13,-61,12
13,-61,12
13,-61,12
13,-61,11
13,-61,11
13,-60,11
12,-60,11
12,-60,11
12,-60,12
12,-60,12
13,-60,11
13,-61,12
13,-61,12
13,-61,12
13,-60,12
12,-60,12
12,-60,12
12,-60,12
13,-60,12
13,-61,12
13,-61,12
13,-61,12
13,-61,12
13,-61,12
13,-60,12
13,-60,12
12,-60,12
13,-61,12
12,-60,12
13,-61,12
13,-61,12
12,-60,12
12,-60,12
13,-61,12
13,-61,12
12,-61,12
13,-60,12
13,-60,13
13,-60,12
13,-60,12
13,-61,12
13,-60,12
13,-60,12
13,-61,12
12,-60,12
13,-60,12
13,-61,12
12,-60,12
12,-60,12
13,-61,12
13,-61,12
13,-60,12
13,-60,12
13,-60,12
12,-61,12
13,-61,12
13,-60,11
13,-60,12
13,-61,12
13,-60,12
12,-60,12
13,-61,12
13,-61,12
13,-60,12
13,-60,12
12,-60,12
13,-60,12
13,-60,12
13,-61,12
13,-60,11
13,-60,12
12,-60,12
12,-60,11
12,-60,12
12,-60,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
13,-60,13
13,-61,12
13,-61,12
13,-61,12
13,-61,12
13,-61,12
13,-60,12
12,-60,12
13,-61,12
13,-60,12
12,-60,12
12,-60,12
12,-60,12
12,-60,12
12,-61,12
12,-61,12
12,-60,12
12,-60,12
12,-61,12
12,-61,12
12,-60,12
12,-60,13
13,-61,12
12,-61,12
12,-60,12
13,-61,12
12,-61,12
12,-61,12
12,-60,12
12,-61,12
12,-60,12
12,-61,12
12,-61,12
12,-61,12
12,-60,12
12,-60,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
13,-60,12
13,-60,12
12,-60,12
13,-61,12
13,-61,12
13,-61,12
12,-60,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-60,12
12,-61,12
12,-61,12
12,-60,12
11,-60,12
11,-60,12
11,-60,12
11,-61,12
11,-61,12
12,-61,12
11,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,13
12,-60,12
12,-61,12
12,-61,12
12,-60,12
12,-61,12
12,-61,12
12,-61,12
12,-60,12
12,-60,12
12,-60,12
11,-61,12
12,-61,12
11,-61,12
11,-61,12
11,-61,12
11,-61,12
11,-61,13
11,-61,12
11,-61,13
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-61,12
12,-60,12
12,-60,12
12,-61,12
12,-60,12
12,-60,12
12,-61,12
11,-60,12
11,-60,12
12,-61,12
12,-61,12
11,-61,12
11,-60,12
11,-61,12
11,-61,12
11,-61,13
12,-60,12
