datatime,acc_x,acc_y,acc_z,label,subject_id
2021-11-09 01:07:17+00:00,12,-60,12,standing,5
2021-11-09 01:07:17.031250+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.062500+00:00,13,-60,13,standing,5
2021-11-09 01:07:17.093750+00:00,13,-60,12,standing,5
2021-11-09 01:07:17.125000+00:00,12,-60,12,standing,5
2021-11-09 01:07:17.156250+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.187500+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.218750+00:00,13,-61,11,standing,5
2021-11-09 01:07:17.250000+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.281250+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.312500+00:00,12,-61,11,standing,5
2021-11-09 01:07:17.343750+00:00,12,-61,12,standing,5
2021-11-09 01:07:17.375000+00:00,12,-60,11,standing,5
2021-11-09 01:07:17.406250+00:00,12,-60,11,standing,5
2021-11-09 01:07:17.437500+00:00,12,-60,11,standing,5
2021-11-09 01:07:17.468750+00:00,13,-60,11,standing,5
2021-11-09 01:07:17.500000+00:00,13,-60,11,standing,5
2021-11-09 01:07:17.531250+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.562500+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.593750+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.625000+00:00,12,-61,12,standing,5
2021-11-09 01:07:17.656250+00:00,13,-61,13,standing,5
2021-11-09 01:07:17.687500+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.718750+00:00,13,-60,12,standing,5
2021-11-09 01:07:17.750000+00:00,13,-60,13,standing,5
2021-11-09 01:07:17.781250+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.812500+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.843750+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.875000+00:00,13,-61,12,standing,5
2021-11-09 01:07:17.906250+00:00,13,-61,11,standing,5
2021-11-09 01:07:17.937500+00:00,13,-61,11,standing,5
2021-11-09 01:07:17.968750+00:00,13,-60,11,standing,5
