datatime,acc_x,acc_y,acc_z,label,subject_id
2021-11-08 23:49:09+00:00,-29,-6,56,standing,4
2021-11-08 23:49:09.031250+00:00,-29,-6,58,standing,4
2021-11-08 23:49:09.062500+00:00,-28,-7,57,standing,4
2021-11-08 23:49:09.093750+00:00,-27,-7,56,standing,4
2021-11-08 23:49:09.125000+00:00,-28,-6,56,standing,4
2021-11-08 23:49:09.156250+00:00,-27,-6,56,standing,4
2021-11-08 23:49:09.187500+00:00,-29,-7,56,standing,4
2021-11-08 23:49:09.218750+00:00,-28,-6,56,standing,4
2021-11-08 23:49:09.250000+00:00,-27,-6,56,standing,4
2021-11-08 23:49:09.281250+00:00,-28,-8,56,standing,4
2021-11-08 23:49:09.312500+00:00,-28,-7,56,standing,4
2021-11-08 23:49:09.343750+00:00,-28,-6,56,standing,4
2021-11-08 23:49:09.375000+00:00,-28,-6,56,standing,4
2021-11-08 23:49:09.406250+00:00,-27,-8,55,standing,4
2021-11-08 23:49:09.437500+00:00,-29,-7,55,standing,4
2021-11-08 23:49:09.468750+00:00,-30,-7,58,standing,4
2021-11-08 23:49:09.500000+00:00,-26,-7,57,standing,4
2021-11-08 23:49:09.531250+00:00,-26,-6,55,standing,4
2021-11-08 23:49:09.562500+00:00,-30,-5,55,standing,4
2021-11-08 23:49:09.593750+00:00,-29,-6,58,standing,4
2021-11-08 23:49:09.625000+00:00,-28,-7,57,standing,4
2021-11-08 23:49:09.656250+00:00,-28,-7,55,standing,4
2021-11-08 23:49:09.687500+00:00,-28,-7,54,standing,4
2021-11-08 23:49:09.718750+00:00,-28,-8,57,standing,4
2021-11-08 23:49:09.750000+00:00,-28,-9,56,standing,4
2021-11-08 23:49:09.781250+00:00,-26,-8,55,standing,4
2021-11-08 23:49:09.812500+00:00,-27,-7,55,standing,4
2021-11-08 23:49:09.843750+00:00,-29,-7,57,standing,4
2021-11-08 23:49:09.875000+00:00,-28,-8,58,standing,4
2021-11-08 23:49:09.906250+00:00,-28,-7,57,standing,4
2021-11-08 23:49:09.937500+00:00,-28,-5,57,standing,4
2021-11-08 23:49:09.968750+00:00,-28,-6,56,standing,4
2021-11-08 23:49:10+00:00,-27,-6,56,standing,4
2021-11-08 23:49:10.031250+00:00,-27,-7,56,standing,4
2021-11-08 23:49:10.062500+00:00,-28,-7,55,standing,4
2021-11-08 23:49:10.093750+00:00,-29,-7,56,standing,4
2021-11-08 23:49:10.125000+00:00,-28,-7,58,standing,4
2021-11-08 23:49:10.156250+00:00,-27,-6,55,standing,4
2021-11-08 23:49:10.187500+00:00,-27,-5,54,standing,4
2021-11-08 23:49:10.218750+00:00,-29,-6,55,standing,4
2021-11-08 23:49:10.250000+00:00,-28,-7,57,standing,4
2021-11-08 23:49:10.281250+00:00,-29,-8,56,standing,4
2021-11-08 23:49:10.312500+00:00,-28,-8,56,standing,4
2021-11-08 23:49:10.343750+00:00,-28,-7,55,standing,4
2021-11-08 23:49:10.375000+00:00,-29,-7,55,standing,4
2021-11-08 23:49:10.406250+00:00,-29,-8,56,standing,4
2021-11-08 23:49:10.437500+00:00,-29,-8,58,standing,4
2021-11-08 23:49:10.468750+00:00,-28,-8,57,standing,4
2021-11-08 23:49:10.500000+00:00,-27,-7,55,standing,4
2021-11-08 23:49:10.531250+00:00,-29,-7,55,standing,4
2021-11-08 23:49:10.562500+00:00,-30,-9,56,standing,4
2021-11-08 23:49:10.593750+00:00,-28,-7,53,standing,4
2021-11-08 23:49:10.625000+00:00,-29,-7,53,standing,4
2021-11-08 23:49:10.656250+00:00,-30,-8,57,standing,4
2021-11-08 23:49:10.687500+00:00,-30,-9,57,standing,4
2021-11-08 23:49:10.718750+00:00,-27,-8,57,standing,4
2021-11-08 23:49:10.750000+00:00,-28,-7,56,standing,4
2021-11-08 23:49:10.781250+00:00,-31,-7,56,standing,4
2021-11-08 23:49:10.812500+00:00,-28,-6,55,standing,4
