datatime,acc_x,acc_y,acc_z
2021-11-08 23:25:55.562500-05:00,-7,-50,38
2021-11-08 23:25:55.593750-05:00,-7,-49,38
2021-11-08 23:25:55.625000-05:00,-7,-50,38
2021-11-08 23:25:55.656250-05:00,-7,-50,38
2021-11-08 23:25:55.687500-05:00,-7,-50,38
2021-11-08 23:25:55.718750-05:00,-7,-50,38
2021-11-08 23:25:55.750000-05:00,-6,-51,36
2021-11-08 23:25:55.781250-05:00,-5,-50,36
2021-11-08 23:25:55.812500-05:00,-6,-51,36
2021-11-08 23:25:55.843750-05:00,-6,-51,33
2021-11-08 23:25:55.875000-05:00,-6,-52,32
2021-11-08 23:25:55.906250-05:00,-6,-52,30
2021-11-08 23:25:55.937500-05:00,-4,-51,32
2021-11-08 23:25:55.968750-05:00,-4,-50,32
2021-11-08 23:25:56-05:00,-5,-52,38
2021-11-08 23:25:56.031250-05:00,-4,-51,39
2021-11-08 23:25:56.062500-05:00,-1,-54,30
2021-11-08 23:25:56.093750-05:00,-1,-53,23
2021-11-08 23:25:56.125000-05:00,0,-49,7
2021-11-08 23:25:56.156250-05:00,-6,-51,3
2021-11-08 23:25:56.187500-05:00,-16,-61,-3
2021-11-08 23:25:56.218750-05:00,-15,-62,0
2021-11-08 23:25:56.250000-05:00,-15,-76,0
2021-11-08 23:25:56.281250-05:00,-14,-73,11
2021-11-08 23:25:56.312500-05:00,-14,-72,15
2021-11-08 23:25:56.343750-05:00,-14,-69,16
2021-11-08 23:25:56.375000-05:00,-14,-71,15
2021-11-08 23:25:56.406250-05:00,-16,-78,11
2021-11-08 23:25:56.437500-05:00,-17,-79,9
2021-11-08 23:25:56.468750-05:00,-15,-77,9
2021-11-08 23:25:56.500000-05:00,-9,-55,10
2021-11-08 23:25:56.531250-05:00,-8,-54,9
2021-11-08 23:25:56.562500-05:00,-8,-62,13
2021-11-08 23:25:56.593750-05:00,-9,-64,8
2021-11-08 23:25:56.625000-05:00,-15,-65,5
2021-11-08 23:25:56.656250-05:00,-16,-58,5
2021-11-08 23:25:56.687500-05:00,-17,-55,9
2021-11-08 23:25:56.718750-05:00,-19,-53,15
2021-11-08 23:25:56.750000-05:00,-19,-54,15
2021-11-08 23:25:56.781250-05:00,-23,-56,14
2021-11-08 23:25:56.812500-05:00,-25,-54,17
2021-11-08 23:25:56.843750-05:00,-24,-51,18
2021-11-08 23:25:56.875000-05:00,-23,-41,20
2021-11-08 23:25:56.906250-05:00,-21,-36,19
2021-11-08 23:25:56.937500-05:00,-17,-21,14
2021-11-08 23:25:56.968750-05:00,-16,-14,12
2021-11-08 23:25:57-05:00,-7,-4,15
2021-11-08 23:25:57.031250-05:00,-9,-11,33
2021-11-08 23:25:57.062500-05:00,-36,-27,39
2021-11-08 23:25:57.093750-05:00,-75,-101,47
2021-11-08 23:25:57.125000-05:00,-87,-128,45
2021-11-08 23:25:57.156250-05:00,-75,-128,44
2021-11-08 23:25:57.187500-05:00,-62,-127,37
2021-11-08 23:25:57.218750-05:00,-44,-81,23
2021-11-08 23:25:57.250000-05:00,-36,-51,16
2021-11-08 23:25:57.281250-05:00,-30,-43,14
2021-11-08 23:25:57.312500-05:00,-18,-31,8
2021-11-08 23:25:57.343750-05:00,-12,-24,8
2021-11-08 23:25:57.375000-05:00,-7,-19,10
2021-11-08 23:25:57.406250-05:00,-5,-17,8
2021-11-08 23:25:57.437500-05:00,-7,-8,6
2021-11-08 23:25:57.468750-05:00,-12,-7,8
2021-11-08 23:25:57.500000-05:00,-13,-5,10
2021-11-08 23:25:57.531250-05:00,-22,-8,16
2021-11-08 23:25:57.562500-05:00,-27,-8,19
2021-11-08 23:25:57.593750-05:00,-58,-43,40
2021-11-08 23:25:57.625000-05:00,-68,-50,37
2021-11-08 23:25:57.656250-05:00,-83,-88,52
2021-11-08 23:25:57.687500-05:00,-74,-71,47
2021-11-08 23:25:57.718750-05:00,-71,-65,45
2021-11-08 23:25:57.750000-05:00,-62,-55,45
