datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:10.937500+00:00,-12,-3,53,downstairs,2
2021-10-27 16:13:10.968750+00:00,-13,-3,51,downstairs,2
2021-10-27 16:13:11+00:00,-13,-3,51,downstairs,2
2021-10-27 16:13:11.031250+00:00,-9,-2,53,downstairs,2
2021-10-27 16:13:11.062500+00:00,-9,-1,55,downstairs,2
2021-10-27 16:13:11.093750+00:00,-10,2,59,downstairs,2
2021-10-27 16:13:11.125000+00:00,-12,4,62,downstairs,2
2021-10-27 16:13:11.156250+00:00,-12,5,64,downstairs,2
2021-10-27 16:13:11.187500+00:00,-12,7,70,downstairs,2
2021-10-27 16:13:11.218750+00:00,-12,8,71,downstairs,2
2021-10-27 16:13:11.250000+00:00,-8,10,67,downstairs,2
2021-10-27 16:13:11.281250+00:00,-6,8,66,downstairs,2
2021-10-27 16:13:11.312500+00:00,-9,0,69,downstairs,2
2021-10-27 16:13:11.343750+00:00,-20,-2,74,downstairs,2
2021-10-27 16:13:11.375000+00:00,-23,0,74,downstairs,2
2021-10-27 16:13:11.406250+00:00,-28,0,64,downstairs,2
2021-10-27 16:13:11.437500+00:00,-26,-3,62,downstairs,2
2021-10-27 16:13:11.468750+00:00,-23,-4,63,downstairs,2
2021-10-27 16:13:11.500000+00:00,-24,-3,60,downstairs,2
2021-10-27 16:13:11.531250+00:00,-26,0,55,downstairs,2
2021-10-27 16:13:11.562500+00:00,-22,4,54,downstairs,2
2021-10-27 16:13:11.593750+00:00,-19,5,51,downstairs,2
2021-10-27 16:13:11.625000+00:00,-14,3,44,downstairs,2
2021-10-27 16:13:11.656250+00:00,-15,2,43,downstairs,2
2021-10-27 16:13:11.687500+00:00,-14,-2,46,downstairs,2
2021-10-27 16:13:11.718750+00:00,-14,-3,49,downstairs,2
2021-10-27 16:13:11.750000+00:00,-14,-2,55,downstairs,2
2021-10-27 16:13:11.781250+00:00,-16,-4,61,downstairs,2
2021-10-27 16:13:11.812500+00:00,-18,-4,66,downstairs,2
2021-10-27 16:13:11.843750+00:00,-29,4,76,downstairs,2
2021-10-27 16:13:11.875000+00:00,-28,6,76,downstairs,2
2021-10-27 16:13:11.906250+00:00,-19,10,76,downstairs,2
2021-10-27 16:13:11.937500+00:00,-18,11,76,downstairs,2
2021-10-27 16:13:11.968750+00:00,-18,14,70,downstairs,2
2021-10-27 16:13:12+00:00,-13,12,59,downstairs,2
2021-10-27 16:13:12.031250+00:00,-14,12,56,downstairs,2
2021-10-27 16:13:12.062500+00:00,-15,10,57,downstairs,2
2021-10-27 16:13:12.093750+00:00,-13,7,57,downstairs,2
2021-10-27 16:13:12.125000+00:00,-21,6,59,downstairs,2
2021-10-27 16:13:12.156250+00:00,-20,4,60,downstairs,2
2021-10-27 16:13:12.187500+00:00,-16,2,57,downstairs,2
2021-10-27 16:13:12.218750+00:00,-14,-1,55,downstairs,2
2021-10-27 16:13:12.250000+00:00,-13,-2,53,downstairs,2
2021-10-27 16:13:12.281250+00:00,-10,-2,51,downstairs,2
2021-10-27 16:13:12.312500+00:00,-7,-4,51,downstairs,2
