datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:13.406250+00:00,-12,45,-3,3,1,InMotion,downstairs
2021-12-08 14:50:13.437500+00:00,-10,41,1,3,1,InMotion,downstairs
2021-12-08 14:50:13.468750+00:00,-4,42,18,3,1,InMotion,downstairs
2021-12-08 14:50:13.500000+00:00,-5,39,20,3,1,InMotion,downstairs
2021-12-08 14:50:13.531250+00:00,-18,52,48,3,1,InMotion,downstairs
2021-12-08 14:50:13.562500+00:00,-38,33,19,3,1,InMotion,downstairs
2021-12-08 14:50:13.593750+00:00,-31,26,14,3,1,InMotion,downstairs
2021-12-08 14:50:13.625000+00:00,-18,23,3,3,1,InMotion,downstairs
2021-12-08 14:50:13.656250+00:00,-13,31,5,3,1,InMotion,downstairs
2021-12-08 14:50:13.687500+00:00,-6,78,20,3,1,InMotion,downstairs
2021-12-08 14:50:13.718750+00:00,-17,99,18,3,1,InMotion,downstairs
2021-12-08 14:50:13.750000+00:00,-14,127,10,3,1,InMotion,downstairs
2021-12-08 14:50:13.781250+00:00,-41,127,-6,3,1,InMotion,downstairs
2021-12-08 14:50:13.812500+00:00,-18,93,-3,3,1,InMotion,downstairs
2021-12-08 14:50:13.843750+00:00,-17,77,-3,3,1,InMotion,downstairs
2021-12-08 14:50:13.875000+00:00,-14,73,-3,3,1,InMotion,downstairs
2021-12-08 14:50:13.906250+00:00,-22,63,-5,3,1,InMotion,downstairs
2021-12-08 14:50:13.937500+00:00,-20,54,-4,3,1,InMotion,downstairs
2021-12-08 14:50:13.968750+00:00,-11,41,-1,3,1,InMotion,downstairs
2021-12-08 14:50:14+00:00,-7,37,3,3,1,InMotion,downstairs
2021-12-08 14:50:14.031250+00:00,-7,35,4,3,1,InMotion,downstairs
2021-12-08 14:50:14.062500+00:00,-9,41,10,3,1,InMotion,downstairs
2021-12-08 14:50:14.093750+00:00,-10,47,13,3,1,InMotion,downstairs
2021-12-08 14:50:14.125000+00:00,-12,58,11,3,1,InMotion,downstairs
2021-12-08 14:50:14.156250+00:00,-12,59,7,3,1,InMotion,downstairs
2021-12-08 14:50:14.187500+00:00,-8,55,1,3,1,InMotion,downstairs
2021-12-08 14:50:14.218750+00:00,-10,50,-1,3,1,InMotion,downstairs
2021-12-08 14:50:14.250000+00:00,-10,53,-2,3,1,InMotion,downstairs
2021-12-08 14:50:14.281250+00:00,-11,79,-1,3,1,InMotion,downstairs
2021-12-08 14:50:14.312500+00:00,-13,99,-6,3,1,InMotion,downstairs
2021-12-08 14:50:14.343750+00:00,-15,127,-24,3,1,InMotion,downstairs
2021-12-08 14:50:14.375000+00:00,-20,127,-20,3,1,InMotion,downstairs
2021-12-08 14:50:14.406250+00:00,-9,93,-11,3,1,InMotion,downstairs
2021-12-08 14:50:14.437500+00:00,0,68,-2,3,1,InMotion,downstairs
2021-12-08 14:50:14.468750+00:00,-4,61,1,3,1,InMotion,downstairs
2021-12-08 14:50:14.500000+00:00,-13,50,4,3,1,InMotion,downstairs
2021-12-08 14:50:14.531250+00:00,-15,46,3,3,1,InMotion,downstairs
2021-12-08 14:50:14.562500+00:00,-18,40,0,3,1,InMotion,downstairs
2021-12-08 14:50:14.593750+00:00,-18,37,0,3,1,InMotion,downstairs
2021-12-08 14:50:14.625000+00:00,2,34,7,3,1,InMotion,downstairs
2021-12-08 14:50:14.656250+00:00,-3,28,-1,3,1,InMotion,downstairs
2021-12-08 14:50:14.687500+00:00,-5,25,-4,3,1,InMotion,downstairs
2021-12-08 14:50:14.718750+00:00,-17,30,-3,3,1,InMotion,downstairs
2021-12-08 14:50:14.750000+00:00,-21,33,-5,3,1,InMotion,downstairs
2021-12-08 14:50:14.781250+00:00,-26,69,5,3,1,InMotion,downstairs
2021-12-08 14:50:14.812500+00:00,-28,117,26,3,1,InMotion,downstairs
2021-12-08 14:50:14.843750+00:00,-41,127,78,3,1,InMotion,downstairs
2021-12-08 14:50:14.875000+00:00,-54,95,29,3,1,InMotion,downstairs
2021-12-08 14:50:14.906250+00:00,-41,75,35,3,1,InMotion,downstairs
2021-12-08 14:50:14.937500+00:00,-28,51,34,3,1,InMotion,downstairs
2021-12-08 14:50:14.968750+00:00,-23,42,29,3,1,InMotion,downstairs
2021-12-08 14:50:15+00:00,-18,23,22,3,1,InMotion,downstairs
2021-12-08 14:50:15.031250+00:00,-14,21,20,3,1,InMotion,downstairs
2021-12-08 14:50:15.062500+00:00,-16,18,7,3,1,InMotion,downstairs
2021-12-08 14:50:15.093750+00:00,-15,14,3,3,1,InMotion,downstairs
2021-12-08 14:50:15.125000+00:00,-15,20,3,3,1,InMotion,downstairs
2021-12-08 14:50:15.156250+00:00,-19,38,8,3,1,InMotion,downstairs
2021-12-08 14:50:15.187500+00:00,-22,53,14,3,1,InMotion,downstairs
2021-12-08 14:50:15.218750+00:00,-31,61,13,3,1,InMotion,downstairs
2021-12-08 14:50:15.250000+00:00,-26,57,13,3,1,InMotion,downstairs
