datatime,acc_x,acc_y,acc_z
2021-10-27 16:13:08+00:00,2,2,56
2021-10-27 16:13:08.031250+00:00,1,2,57
2021-10-27 16:13:08.062500+00:00,0,3,61
2021-10-27 16:13:08.093750+00:00,1,2,64
2021-10-27 16:13:08.125000+00:00,2,2,60
2021-10-27 16:13:08.156250+00:00,3,2,62
2021-10-27 16:13:08.187500+00:00,4,2,63
2021-10-27 16:13:08.218750+00:00,3,2,64
2021-10-27 16:13:08.250000+00:00,3,2,64
2021-10-27 16:13:08.281250+00:00,3,3,63
2021-10-27 16:13:08.312500+00:00,3,3,62
2021-10-27 16:13:08.343750+00:00,3,4,62
2021-10-27 16:13:08.375000+00:00,2,4,61
2021-10-27 16:13:08.406250+00:00,4,4,63
2021-10-27 16:13:08.437500+00:00,3,4,64
2021-10-27 16:13:08.468750+00:00,2,4,63
2021-10-27 16:13:08.500000+00:00,3,4,63
2021-10-27 16:13:08.531250+00:00,1,4,66
2021-10-27 16:13:08.562500+00:00,0,3,71
2021-10-27 16:13:08.593750+00:00,0,2,71
2021-10-27 16:13:08.625000+00:00,-3,1,71
2021-10-27 16:13:08.656250+00:00,-4,1,73
2021-10-27 16:13:08.687500+00:00,-3,3,72
2021-10-27 16:13:08.718750+00:00,-3,2,63
2021-10-27 16:13:08.750000+00:00,-4,1,62
2021-10-27 16:13:08.781250+00:00,-5,-3,63
2021-10-27 16:13:08.812500+00:00,-5,-3,62
2021-10-27 16:13:08.843750+00:00,-6,-2,59
2021-10-27 16:13:08.875000+00:00,-7,-2,58
2021-10-27 16:13:08.906250+00:00,-4,-3,57
2021-10-27 16:13:08.937500+00:00,-3,-4,55
2021-10-27 16:13:08.968750+00:00,-2,-5,54
2021-10-27 16:13:09+00:00,1,-7,54
2021-10-27 16:13:09.031250+00:00,1,-8,55
2021-10-27 16:13:09.062500+00:00,-1,-9,56
2021-10-27 16:13:09.093750+00:00,-2,-9,56
2021-10-27 16:13:09.125000+00:00,0,-8,59
2021-10-27 16:13:09.156250+00:00,1,-7,62
2021-10-27 16:13:09.187500+00:00,1,-6,62
2021-10-27 16:13:09.218750+00:00,1,-2,68
2021-10-27 16:13:09.250000+00:00,1,-1,69
2021-10-27 16:13:09.281250+00:00,2,0,68
2021-10-27 16:13:09.312500+00:00,2,-1,67
2021-10-27 16:13:09.343750+00:00,1,-1,69
2021-10-27 16:13:09.375000+00:00,-4,3,71
2021-10-27 16:13:09.406250+00:00,-5,6,73
2021-10-27 16:13:09.437500+00:00,0,10,65
2021-10-27 16:13:09.468750+00:00,0,11,64
2021-10-27 16:13:09.500000+00:00,0,13,69
2021-10-27 16:13:09.531250+00:00,3,15,71
2021-10-27 16:13:09.562500+00:00,6,12,65
2021-10-27 16:13:09.593750+00:00,4,9,54
2021-10-27 16:13:09.625000+00:00,4,8,53
2021-10-27 16:13:09.656250+00:00,3,7,53
2021-10-27 16:13:09.687500+00:00,1,5,52
2021-10-27 16:13:09.718750+00:00,8,2,51
2021-10-27 16:13:09.750000+00:00,7,1,53
2021-10-27 16:13:09.781250+00:00,9,2,58
2021-10-27 16:13:09.812500+00:00,13,2,58
2021-10-27 16:13:09.843750+00:00,12,3,59
2021-10-27 16:13:09.875000+00:00,12,5,64
2021-10-27 16:13:09.906250+00:00,10,7,65
2021-10-27 16:13:09.937500+00:00,8,4,65
2021-10-27 16:13:09.968750+00:00,6,2,66
2021-10-27 16:13:10+00:00,7,-3,70
2021-10-27 16:13:10.031250+00:00,4,-5,72
2021-10-27 16:13:10.062500+00:00,3,-6,73
2021-10-27 16:13:10.093750+00:00,-1,-3,73
2021-10-27 16:13:10.125000+00:00,-1,-4,71
2021-10-27 16:13:10.156250+00:00,2,-6,66
2021-10-27 16:13:10.187500+00:00,1,-5,63
2021-10-27 16:13:10.218750+00:00,0,-2,58
2021-10-27 16:13:10.250000+00:00,-2,-1,51
2021-10-27 16:13:10.281250+00:00,0,-2,49
2021-10-27 16:13:10.312500+00:00,3,-3,47
2021-10-27 16:13:10.343750+00:00,0,-4,46
2021-10-27 16:13:10.375000+00:00,0,-8,46
2021-10-27 16:13:10.406250+00:00,-1,-9,48
2021-10-27 16:13:10.437500+00:00,-3,-8,57
2021-10-27 16:13:10.468750+00:00,-1,-8,60
2021-10-27 16:13:10.500000+00:00,1,-7,61
2021-10-27 16:13:10.531250+00:00,2,-5,64
2021-10-27 16:13:10.562500+00:00,-1,-1,67
2021-10-27 16:13:10.593750+00:00,-1,6,71
2021-10-27 16:13:10.625000+00:00,0,8,70
2021-10-27 16:13:10.656250+00:00,-2,13,68
2021-10-27 16:13:10.687500+00:00,-11,19,74
2021-10-27 16:13:10.718750+00:00,-13,18,75
2021-10-27 16:13:10.750000+00:00,-13,12,73
2021-10-27 16:13:10.781250+00:00,-12,9,70
2021-10-27 16:13:10.812500+00:00,-14,5,66
2021-10-27 16:13:10.843750+00:00,-15,5,65
2021-10-27 16:13:10.875000+00:00,-14,1,58
2021-10-27 16:13:10.906250+00:00,-13,-2,54
2021-10-27 16:13:10.937500+00:00,-12,-3,53
2021-10-27 16:13:10.968750+00:00,-13,-3,51
2021-10-27 16:13:11+00:00,-13,-3,51
2021-10-27 16:13:11.031250+00:00,-9,-2,53
2021-10-27 16:13:11.062500+00:00,-9,-1,55
2021-10-27 16:13:11.093750+00:00,-10,2,59
2021-10-27 16:13:11.125000+00:00,-12,4,62
2021-10-27 16:13:11.156250+00:00,-12,5,64
2021-10-27 16:13:11.187500+00:00,-12,7,70
2021-10-27 16:13:11.218750+00:00,-12,8,71
2021-10-27 16:13:11.250000+00:00,-8,10,67
2021-10-27 16:13:11.281250+00:00,-6,8,66
2021-10-27 16:13:11.312500+00:00,-9,0,69
2021-10-27 16:13:11.343750+00:00,-20,-2,74
2021-10-27 16:13:11.375000+00:00,-23,0,74
2021-10-27 16:13:11.406250+00:00,-28,0,64
2021-10-27 16:13:11.437500+00:00,-26,-3,62
2021-10-27 16:13:11.468750+00:00,-23,-4,63
2021-10-27 16:13:11.500000+00:00,-24,-3,60
2021-10-27 16:13:11.531250+00:00,-26,0,55
2021-10-27 16:13:11.562500+00:00,-22,4,54
2021-10-27 16:13:11.593750+00:00,-19,5,51
2021-10-27 16:13:11.625000+00:00,-14,3,44
2021-10-27 16:13:11.656250+00:00,-15,2,43
2021-10-27 16:13:11.687500+00:00,-14,-2,46
2021-10-27 16:13:11.718750+00:00,-14,-3,49
2021-10-27 16:13:11.750000+00:00,-14,-2,55
2021-10-27 16:13:11.781250+00:00,-16,-4,61
2021-10-27 16:13:11.812500+00:00,-18,-4,66
2021-10-27 16:13:11.843750+00:00,-29,4,76
2021-10-27 16:13:11.875000+00:00,-28,6,76
2021-10-27 16:13:11.906250+00:00,-19,10,76
